Date,High,Low,Open,Close,Volume,Adj Close
2019-03-22,21713.259765625,21542.029296875,21713.259765625,21627.33984375,78900000.0,21627.33984375
2019-03-25,21275.4296875,20911.5703125,21267.41015625,20977.109375,77700000.0,20977.109375
2019-03-26,21460.990234375,21174.33984375,21174.33984375,21428.390625,101300000.0,21428.390625
2019-03-27,21388.58984375,21242.51953125,21353.609375,21378.73046875,76000000.0,21378.73046875
2019-03-28,21191.3203125,20974.189453125,21191.3203125,21033.759765625,71100000.0,21033.759765625
2019-03-29,21267.25,21149.419921875,21228.509765625,21205.810546875,61600000.0,21205.810546875
2019-04-01,21682.939453125,21471.119140625,21500.890625,21509.029296875,77400000.0,21509.029296875
2019-04-02,21744.640625,21490.560546875,21744.640625,21505.310546875,71000000.0,21505.310546875
2019-04-03,21722.720703125,21489.94921875,21563.640625,21713.2109375,68500000.0,21713.2109375
2019-04-04,21787.599609375,21662.900390625,21724.689453125,21724.94921875,57900000.0,21724.94921875
2019-04-05,21839.1796875,21731.33984375,21743.140625,21807.5,58500000.0,21807.5
2019-04-08,21900.55078125,21740.529296875,21900.55078125,21761.650390625,54600000.0,21761.650390625
2019-04-09,21811.880859375,21698.419921875,21750.2890625,21802.58984375,54300000.0,21802.58984375
2019-04-10,21687.5703125,21571.669921875,21579.6796875,21687.5703125,58700000.0,21687.5703125
2019-04-11,21721.419921875,21627.869140625,21662.650390625,21711.380859375,61200000.0,21711.380859375
2019-04-12,21878.779296875,21698.7109375,21782.349609375,21870.560546875,61600000.0,21870.560546875
2019-04-15,22211.029296875,22102.9296875,22122.970703125,22169.109375,66100000.0,22169.109375
2019-04-16,22261.330078125,22095.3203125,22108.150390625,22221.66015625,57300000.0,22221.66015625
2019-04-17,22345.189453125,22185.869140625,22236.41015625,22277.970703125,75400000.0,22277.970703125
2019-04-18,22305.630859375,22058.390625,22274.130859375,22090.119140625,67300000.0,22090.119140625
2019-04-19,22250.369140625,22162.23046875,22238.0703125,22200.560546875,0.0,22200.560546875
2019-04-22,22280.189453125,22099.380859375,22188.619140625,22217.900390625,42900000.0,22217.900390625
2019-04-23,22268.369140625,22119.939453125,22241.740234375,22259.740234375,52000000.0,22259.740234375
2019-04-24,22362.919921875,22125.48046875,22356.830078125,22200.0,67900000.0,22200.0
2019-04-25,22334.689453125,22155.23046875,22183.3203125,22307.580078125,63300000.0,22307.580078125
2019-04-26,22270.2890625,22073.099609375,22167.48046875,22258.73046875,71900000.0,22258.73046875
2019-05-07,22190.490234375,21875.109375,22184.400390625,21923.720703125,90700000.0,21923.720703125
2019-05-08,21639.119140625,21514.849609375,21628.0390625,21602.58984375,85700000.0,21602.58984375
2019-05-09,21559.759765625,21315.0703125,21492.91015625,21402.130859375,96900000.0,21402.130859375
2019-05-10,21584.08984375,21175.330078125,21431.810546875,21344.919921875,98500000.0,21344.919921875
2019-05-13,21277.66015625,21127.9296875,21180.740234375,21191.279296875,74500000.0,21191.279296875
2019-05-14,21077.48046875,20751.44921875,20870.76953125,21067.23046875,90200000.0,21067.23046875
2019-05-15,21191.529296875,20968.080078125,21112.849609375,21188.560546875,84100000.0,21188.560546875
2019-05-16,21153.19921875,20951.669921875,21153.19921875,21062.98046875,82500000.0,21062.98046875
2019-05-17,21398.849609375,21199.98046875,21246.859375,21250.08984375,75800000.0,21250.08984375
2019-05-20,21430.060546875,21282.650390625,21305.970703125,21301.73046875,65100000.0,21301.73046875
2019-05-21,21318.80078125,21160.4296875,21211.259765625,21272.44921875,70100000.0,21272.44921875
2019-05-22,21404.5390625,21266.98046875,21373.51953125,21283.369140625,64500000.0,21283.369140625
2019-05-23,21209.560546875,21072.720703125,21180.240234375,21151.140625,63900000.0,21151.140625
2019-05-24,21117.220703125,20922.0,20980.7890625,21117.220703125,67700000.0,21117.220703125
2019-05-27,21232.380859375,21113.759765625,21148.4609375,21182.580078125,41600000.0,21182.580078125
2019-05-28,21297.69921875,21177.26953125,21187.169921875,21260.140625,98500000.0,21260.140625
2019-05-29,21071.73046875,20884.609375,21055.419921875,21003.369140625,70000000.0,21003.369140625
2019-05-30,20942.529296875,20809.2890625,20881.5,20942.529296875,58700000.0,20942.529296875
2019-05-31,20823.099609375,20581.580078125,20785.2109375,20601.189453125,79100000.0,20601.189453125
2019-06-03,20438.029296875,20305.740234375,20327.869140625,20410.880859375,67400000.0,20410.880859375
2019-06-04,20464.5703125,20289.640625,20435.859375,20408.5390625,69200000.0,20408.5390625
2019-06-05,20800.640625,20646.150390625,20667.890625,20776.099609375,72300000.0,20776.099609375
2019-06-06,20842.279296875,20745.83984375,20745.83984375,20774.0390625,59600000.0,20774.0390625
2019-06-07,20907.76953125,20816.580078125,20859.779296875,20884.7109375,50700000.0,20884.7109375
2019-06-10,21166.119140625,21077.94921875,21095.400390625,21134.419921875,58200000.0,21134.419921875
2019-06-11,21227.1796875,21066.619140625,21099.5390625,21204.279296875,52100000.0,21204.279296875
2019-06-12,21259.69921875,21118.75,21130.390625,21129.720703125,56500000.0,21129.720703125
2019-06-13,21111.23046875,20932.130859375,21040.91015625,21032.0,65700000.0,21032.0
2019-06-14,21119.73046875,20971.1796875,21049.41015625,21116.890625,60400000.0,21116.890625
2019-06-17,21185.25,21044.619140625,21094.9609375,21124.0,49100000.0,21124.0
2019-06-18,21153.650390625,20924.189453125,21111.76953125,20972.7109375,54600000.0,20972.7109375
2019-06-19,21358.720703125,21213.4296875,21223.169921875,21333.869140625,64100000.0,21333.869140625
2019-06-20,21491.390625,21377.26953125,21417.740234375,21462.859375,55700000.0,21462.859375
2019-06-21,21497.8203125,21221.69921875,21487.669921875,21258.640625,89000000.0,21258.640625
2019-06-24,21317.859375,21185.669921875,21223.560546875,21285.990234375,43200000.0,21285.990234375
2019-06-25,21313.76953125,21114.470703125,21238.0703125,21193.810546875,53900000.0,21193.810546875
2019-06-26,21129.640625,21035.83984375,21067.6796875,21086.58984375,50300000.0,21086.58984375
2019-06-27,21338.169921875,21123.970703125,21156.880859375,21338.169921875,61300000.0,21338.169921875
2019-06-28,21324.9296875,21199.849609375,21282.220703125,21275.919921875,62100000.0,21275.919921875
2019-07-01,21758.33984375,21559.169921875,21566.26953125,21729.970703125,66900000.0,21729.970703125
2019-07-02,21784.220703125,21697.310546875,21699.4296875,21754.26953125,54700000.0,21754.26953125
2019-07-03,21708.720703125,21566.650390625,21684.0703125,21638.16015625,55000000.0,21638.16015625
2019-07-04,21755.630859375,21672.5,21740.9296875,21702.44921875,37800000.0,21702.44921875
2019-07-05,21746.380859375,21647.73046875,21703.609375,21746.380859375,44800000.0,21746.380859375
2019-07-08,21672.650390625,21499.5703125,21665.7890625,21534.349609375,51900000.0,21534.349609375
2019-07-09,21687.2890625,21508.220703125,21598.150390625,21565.150390625,53900000.0,21565.150390625
2019-07-10,21601.859375,21488.220703125,21499.4609375,21533.48046875,58900000.0,21533.48046875
2019-07-11,21649.9296875,21532.5703125,21547.189453125,21643.529296875,49600000.0,21643.529296875
2019-07-12,21720.140625,21589.830078125,21720.140625,21685.900390625,45400000.0,21685.900390625
2019-07-16,21655.51953125,21514.890625,21644.380859375,21535.25,49800000.0,21535.25
2019-07-17,21488.26953125,21380.55078125,21474.630859375,21469.1796875,53300000.0,21469.1796875
2019-07-18,21347.83984375,20993.439453125,21336.80078125,21046.240234375,70200000.0,21046.240234375
2019-07-19,21474.30078125,21121.900390625,21146.5,21466.990234375,57900000.0,21466.990234375
2019-07-22,21445.029296875,21317.849609375,21394.75,21416.7890625,46900000.0,21416.7890625
2019-07-23,21686.529296875,21411.9296875,21425.439453125,21620.880859375,48100000.0,21620.880859375
2019-07-24,21744.880859375,21677.7109375,21726.98046875,21709.5703125,51100000.0,21709.5703125
2019-07-25,21823.0703125,21715.689453125,21715.94921875,21756.55078125,46900000.0,21756.55078125
2019-07-26,21709.740234375,21590.66015625,21700.19921875,21658.150390625,47600000.0,21658.150390625
2019-07-29,21652.94921875,21518.69921875,21627.55078125,21616.80078125,47000000.0,21616.80078125
2019-07-30,21792.98046875,21665.859375,21681.8203125,21709.310546875,54500000.0,21709.310546875
2019-07-31,21589.109375,21476.0703125,21526.380859375,21521.529296875,76500000.0,21521.529296875
2019-08-01,21556.689453125,21288.900390625,21361.580078125,21540.990234375,75700000.0,21540.990234375
2019-08-02,21211.060546875,20960.08984375,21211.060546875,21087.16015625,91500000.0,21087.16015625
2019-08-05,20941.830078125,20514.189453125,20909.98046875,20720.2890625,85800000.0,20720.2890625
2019-08-06,20607.830078125,20110.759765625,20325.51953125,20585.310546875,89700000.0,20585.310546875
2019-08-07,20570.189453125,20406.51953125,20548.0703125,20516.560546875,73600000.0,20516.560546875
2019-08-08,20682.240234375,20462.98046875,20529.2890625,20593.349609375,64800000.0,20593.349609375
2019-08-09,20782.060546875,20676.919921875,20758.150390625,20684.8203125,63700000.0,20684.8203125
2019-08-13,20503.380859375,20369.26953125,20432.6796875,20455.439453125,72900000.0,20455.439453125
2019-08-14,20697.419921875,20581.169921875,20669.990234375,20655.130859375,60900000.0,20655.130859375
2019-08-15,20419.880859375,20184.849609375,20324.25,20405.650390625,68200000.0,20405.650390625
2019-08-16,20465.7109375,20300.349609375,20323.970703125,20418.810546875,58400000.0,20418.810546875
2019-08-19,20633.900390625,20502.66015625,20590.470703125,20563.16015625,50600000.0,20563.16015625
2019-08-20,20684.060546875,20582.009765625,20605.349609375,20677.220703125,50100000.0,20677.220703125
2019-08-21,20626.05078125,20482.619140625,20489.970703125,20618.5703125,53000000.0,20618.5703125
